name,lon,lat,coords
w_nusa_tenggara_v1.1_2020_1,116.8436656,-8.445053964,"[116.8436656, -8.445053964]"
w_nusa_tenggara_v1.1_2020_2,116.9788331,-8.49718092,"[116.9788331, -8.49718092]"
w_nusa_tenggara_v1.1_2020_3,117.36611370000001,-8.485667662,"[117.36611370000001, -8.485667662]"
w_nusa_tenggara_v1.1_2020_4,117.3998376,-8.495458464,"[117.3998376, -8.495458464]"
w_nusa_tenggara_v1.1_2020_5,117.3269505,-8.45557001,"[117.3269505, -8.45557001]"
w_nusa_tenggara_v1.1_2020_7,117.4551375,-8.438526762,"[117.4551375, -8.438526762]"
w_nusa_tenggara_v1.1_2020_8,117.9815744,-8.247334152,"[117.9815744, -8.247334152]"
w_nusa_tenggara_v1.1_2020_9,117.97613510000001,-8.258756755,"[117.97613510000001, -8.258756755]"
w_nusa_tenggara_v1.1_2020_10,118.1141128,-8.148882196,"[118.1141128, -8.148882196]"
w_nusa_tenggara_v1.1_2020_11,118.2146045,-8.292389972999999,"[118.2146045, -8.292389972999999]"
w_nusa_tenggara_v1.1_2020_12,118.20857590000001,-8.281239337,"[118.20857590000001, -8.281239337]"
w_nusa_tenggara_v1.1_2020_13,118.64898070000001,-8.490109785,"[118.64898070000001, -8.490109785]"
w_nusa_tenggara_v1.1_2020_14,118.6037436,-8.423387281,"[118.6037436, -8.423387281]"
w_nusa_tenggara_v1.1_2020_15,118.6995665,-8.409698289,"[118.6995665, -8.409698289]"
w_nusa_tenggara_v1.1_2020_16,118.7119864,-8.405618788,"[118.7119864, -8.405618788]"
w_nusa_tenggara_v1.1_2020_20,116.85282179999999,-8.755549312000001,"[116.85282179999999, -8.755549312000001]"
w_nusa_tenggara_v1.1_2020_21,116.8598023,-8.781930083999999,"[116.8598023, -8.781930083999999]"
w_nusa_tenggara_v1.1_2020_22,117.5688195,-8.856448967999999,"[117.5688195, -8.856448967999999]"
w_nusa_tenggara_v1.1_2020_23,117.51914029999999,-8.779029106,"[117.51914029999999, -8.779029106]"
w_nusa_tenggara_v1.1_2020_24,117.45087659999999,-8.808310857,"[117.45087659999999, -8.808310857]"
w_nusa_tenggara_v1.1_2020_25,117.5896703,-8.558010811,"[117.5896703, -8.558010811]"
w_nusa_tenggara_v1.1_2020_26,117.56954479999999,-8.927794906,"[117.56954479999999, -8.927794906]"
w_nusa_tenggara_v1.1_2020_27,117.4768041,-8.859621913,"[117.4768041, -8.859621913]"
w_nusa_tenggara_v1.1_2020_28,117.4493808,-8.806316434,"[117.4493808, -8.806316434]"
w_nusa_tenggara_v1.1_2020_29,117.44969809999999,-8.806769712000001,"[117.44969809999999, -8.806769712000001]"
w_nusa_tenggara_v1.1_2020_30,117.4750817,-8.813886175,"[117.4750817, -8.813886175]"
w_nusa_tenggara_v1.1_2020_31,117.5942031,-8.521295302999999,"[117.5942031, -8.521295302999999]"
w_nusa_tenggara_v1.1_2020_32,117.53527700000001,-8.735605085,"[117.53527700000001, -8.735605085]"
w_nusa_tenggara_v1.1_2020_33,117.5767972,-8.691365164,"[117.5767972, -8.691365164]"
w_nusa_tenggara_v1.1_2020_34,117.54715290000001,-8.762801758,"[117.54715290000001, -8.762801758]"
w_nusa_tenggara_v1.1_2020_35,117.4873202,-8.776400094,"[117.4873202, -8.776400094]"
w_nusa_tenggara_v1.1_2020_36,117.95949979999999,-8.752648333,"[117.95949979999999, -8.752648333]"
w_nusa_tenggara_v1.1_2020_37,117.6815044,-8.660451612000001,"[117.6815044, -8.660451612000001]"
w_nusa_tenggara_v1.1_2020_38,117.66980990000002,-8.81275298,"[117.66980990000002, -8.81275298]"
w_nusa_tenggara_v1.1_2020_39,117.99063989999999,-8.727174116,"[117.99063989999999, -8.727174116]"
w_nusa_tenggara_v1.1_2020_40,117.8307235,-8.738959341000001,"[117.8307235, -8.738959341000001]"
w_nusa_tenggara_v1.1_2020_41,117.9488477,-8.907306746,"[117.9488477, -8.907306746]"
w_nusa_tenggara_v1.1_2020_42,117.99322360000001,-8.643997625,"[117.99322360000001, -8.643997625]"
w_nusa_tenggara_v1.1_2020_43,117.6342729,-8.54595362,"[117.6342729, -8.54595362]"
w_nusa_tenggara_v1.1_2020_44,117.7680805,-8.66398718,"[117.7680805, -8.66398718]"
w_nusa_tenggara_v1.1_2020_45,118.0022439,-8.657822601,"[118.0022439, -8.657822601]"
w_nusa_tenggara_v1.1_2020_46,117.7523064,-8.631441828,"[117.7523064, -8.631441828]"
w_nusa_tenggara_v1.1_2020_47,117.8286838,-8.723729205,"[117.8286838, -8.723729205]"
w_nusa_tenggara_v1.1_2020_48,117.954831,-8.665437669,"[117.954831, -8.665437669]"
w_nusa_tenggara_v1.1_2020_49,117.7911977,-8.726584855,"[117.7911977, -8.726584855]"
w_nusa_tenggara_v1.1_2020_50,117.6321878,-8.517306458,"[117.6321878, -8.517306458]"
w_nusa_tenggara_v1.1_2020_51,117.9781295,-8.62854085,"[117.9781295, -8.62854085]"
w_nusa_tenggara_v1.1_2020_52,117.98755770000001,-8.651340727000001,"[117.98755770000001, -8.651340727000001]"
w_nusa_tenggara_v1.1_2020_53,117.9863791,-8.651386055,"[117.9863791, -8.651386055]"
w_nusa_tenggara_v1.1_2020_54,117.8464976,-8.719831015,"[117.8464976, -8.719831015]"
w_nusa_tenggara_v1.1_2020_55,117.8089662,-8.754824067000001,"[117.8089662, -8.754824067000001]"
w_nusa_tenggara_v1.1_2020_56,117.7365324,-8.728896572,"[117.7365324, -8.728896572]"
w_nusa_tenggara_v1.1_2020_57,117.93860359999998,-8.726992805,"[117.93860359999998, -8.726992805]"
w_nusa_tenggara_v1.1_2020_58,117.99014129999999,-8.647941142999999,"[117.99014129999999, -8.647941142999999]"
w_nusa_tenggara_v1.1_2020_59,118.22797620000001,-8.656009489,"[118.22797620000001, -8.656009489]"
w_nusa_tenggara_v1.1_2020_60,118.22915479999999,-8.659862351000001,"[118.22915479999999, -8.659862351000001]"
w_nusa_tenggara_v1.1_2020_61,118.36114930000001,-8.629175438999999,"[118.36114930000001, -8.629175438999999]"
w_nusa_tenggara_v1.1_2020_62,118.12281580000001,-8.879384829,"[118.12281580000001, -8.879384829]"
w_nusa_tenggara_v1.1_2020_63,118.1663304,-8.861253714,"[118.1663304, -8.861253714]"
w_nusa_tenggara_v1.1_2020_64,118.107495,-8.873129594,"[118.107495, -8.873129594]"
w_nusa_tenggara_v1.1_2020_65,118.1091268,-8.873945493999999,"[118.1091268, -8.873945493999999]"
w_nusa_tenggara_v1.1_2020_66,118.11964280000001,-8.878296962,"[118.11964280000001, -8.878296962]"
w_nusa_tenggara_v1.1_2020_67,118.1549985,-8.657459978,"[118.1549985, -8.657459978]"
w_nusa_tenggara_v1.1_2020_68,118.2329623,-8.656145472999999,"[118.2329623, -8.656145472999999]"
w_nusa_tenggara_v1.1_2020_69,118.41191640000001,-8.869503371,"[118.41191640000001, -8.869503371]"
w_nusa_tenggara_v1.1_2020_70,118.38952450000001,-8.764705525,"[118.38952450000001, -8.764705525]"
w_nusa_tenggara_v1.1_2020_71,118.37302520000001,-8.640235419,"[118.37302520000001, -8.640235419]"
w_nusa_tenggara_v1.1_2020_72,118.22580049999999,-8.651929988,"[118.22580049999999, -8.651929988]"
w_nusa_tenggara_v1.1_2020_73,118.4152707,-8.613809319,"[118.4152707, -8.613809319]"
w_nusa_tenggara_v1.1_2020_74,118.42025670000001,-8.616528986,"[118.42025670000001, -8.616528986]"
w_nusa_tenggara_v1.1_2020_75,118.390703,-8.572062426,"[118.390703, -8.572062426]"
w_nusa_tenggara_v1.1_2020_76,118.42515209999999,-8.622104304,"[118.42515209999999, -8.622104304]"
w_nusa_tenggara_v1.1_2020_77,118.063799,-8.845479643,"[118.063799, -8.845479643]"
w_nusa_tenggara_v1.1_2020_78,118.42488020000002,-8.620472503,"[118.42488020000002, -8.620472503]"
w_nusa_tenggara_v1.1_2020_79,118.4072476,-8.606330233,"[118.4072476, -8.606330233]"
w_nusa_tenggara_v1.1_2020_80,118.69711880000001,-8.587836496,"[118.69711880000001, -8.587836496]"
w_nusa_tenggara_v1.1_2020_81,118.7762612,-8.809942657,"[118.7762612, -8.809942657]"
w_nusa_tenggara_v1.1_2020_83,118.85739790000001,-8.721190847999999,"[118.85739790000001, -8.721190847999999]"
w_nusa_tenggara_v1.1_2020_84,118.7781649,-8.610772357,"[118.7781649, -8.610772357]"
w_nusa_tenggara_v1.1_2020_85,118.8299293,-8.571337181,"[118.8299293, -8.571337181]"
w_nusa_tenggara_v1.1_2020_86,118.81796270000001,-8.838045886,"[118.81796270000001, -8.838045886]"
w_nusa_tenggara_v1.1_2020_87,118.9583882,-8.577411105,"[118.9583882, -8.577411105]"
w_nusa_tenggara_v1.1_2020_88,119.1677119,-8.562815557,"[119.1677119, -8.562815557]"
w_nusa_tenggara_v1.1_2020_89,119.0151386,-8.630353961,"[119.0151386, -8.630353961]"
w_nusa_tenggara_v1.1_2020_90,119.04568950000001,-8.507425,"[119.04568950000001, -8.507425]"
w_nusa_tenggara_v1.1_2020_91,118.9771086,-8.598488526,"[118.9771086, -8.598488526]"
